Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Засядько,Соломон,Сергійович,Чоловіча,1973-05-30,Юрист,село Куп'янськ,"набережна Бузкова, буд. 8 кв. 736, Горохів, 46360",+380 (00) 412-59-43,boleslavdanchuk@example.net
Ковпак,Семен,Миколайович,Чоловіча,2004-06-15,Живописець,місто Кам'янське,"сквер Студентський, буд. 540 кв. 15, Павлоград, 58910",+380 94 654-63-30,medvedenkoparmen@example.org
Засуха,Віталій,Олегович,Чоловіча,1952-09-29,Публіцист,селище Довжанськ,"узвіз Матеріальний 1-й, буд. 27 кв. 772, Верхньодніпровськ, 58272",442 30 79,valentyna45@example.org
Гаєвська,Галина,Вікторівна,Жіноча,1983-04-07,Стропальник,місто Севастополь,"провулок Тополиний, буд. 42 кв. 3, Нова Каховка, 91144",+380 12 418-28-40,odarka84@example.com
Оберемко,Євген,Георгійович,Чоловіча,1945-06-20,Маркетолог,село Благовіщенське,"шосе Тимірязєва 4-й, буд. 8, Берестечко, 67422",027 963 71 23,rubansnizhana@example.com
Лагода,Олекса,Юрійович,Чоловіча,1973-12-02,Кухар,місто Хотин,"сквер Профспілкова, буд. 591 кв. 7, Радомишль, 96806",022 617 36 30,tsiutsiuraherman@example.org
Данилюк,Марʼяна,Сергіївна,Жіноча,1948-09-01,Вчитель,місто Бахчисарай,"сквер Красива, буд. 10 кв. 489, Козятин, 62654",015 429-88-81,ivasiuksvitlana@example.net
Гаєвський,Олег,Миколайович,Чоловіча,1973-10-11,Кінорежисер,селище Бахмут,"провулок Пересипський узвіз, буд. 042, Стрий, 54996",+380 92 722 05 18,rozaliiafastenko@example.com
Литвиненко,Азар,Михайлович,Чоловіча,1955-06-10,Мінералог,хутір Нова Каховка,"площа Петрашевського, буд. 82, Андрушівка, 19213",+380 56 579-61-07,adamalyk@example.org
Яремко,Азар,Георгійович,Чоловіча,2004-04-09,Лікар,місто Ірміно,"вулиця Трудових резервів, буд. 352 кв. 36, Буча, 10489",090 812 44 69,svitlanatsisyk@example.com
Іващенко,Соломон,Миколайович,Чоловіча,1959-09-09,Машиніст,місто Мала Виска,"набережна 19-та Лінія, буд. 227 кв. 155, Миргород, 17378",564 26 75,anastasiiababko@example.org
Фастенко,Оксенія,Дмитрівна,Жіноча,1980-07-31,Професор,селище Любомль,"провулок Наявний 6-й, буд. 62 кв. 4, Липовець, 60858",089 607 24 68,evasylenko@example.org
Козаченко,Зиновій,Олександрович,Чоловіча,1991-06-17,Детектив,хутір Дружба ,"парк Молокова, буд. 0 кв. 0, Великі Мости, 46106",037 103-82-48,liliia72@example.net
Парасюк,Михайло,Георгійович,Чоловіча,1976-11-13,Модельєр,селище Тлумач,"парк Харківська, буд. 40 кв. 7, Ямпіль, 21181",+380 (74) 469-85-61,nadiiaderiazhna@example.com
Єрьоменко,Марко,Олегович,Чоловіча,1977-10-22,Письменник,селище Докучаєвськ,"парк Аптекарський, буд. 864, Скадовськ, 27303",028 796-87-97,milenaandriishyn@example.net
Карась,Олег,Тарасович,Чоловіча,1988-07-17,Реабілітолог,хутір Долинська,"сквер Гаршина, буд. 920 кв. 043, Кремінна, 41456",+380 (13) 094-33-13,azar17@example.net
Смик,Кирило,Іванович,Чоловіча,1967-02-18,Кіноактор,хутір Погребище,"шосе Академіка Гаркавого, буд. 316, Бобровиця, 42789",+380 92 660-42-94,tkachmaksym@example.org
Парасюк,Марʼяна,Вікторівна,Жіноча,1953-03-16,Швачка,місто Білопілля,"парк Студентський 5-й, буд. 312, Скадовськ, 45831",+380 37 373-79-38,viktorsmyk@example.org
Чаленко,Климент,Вікторович,Чоловіча,1980-11-09,Мистецтвознавець,місто Тернопіль,"вулиця Декабристів, буд. 0 кв. 41, Кривий Ріг, 10713",+380 67 731-82-49,davymukaalbert@example.net
Баклан,Пріска,Іванівна,Жіноча,1940-10-22,Письменник,село Ромни,"набережна Світанку, буд. 600, Старокостянтинів, 23868",273-79-50,romantarasenko@example.net
Базавлученко,Варвара,Романівна,Жіноча,1971-10-18,Адвокат,село Бобровиця,"парк Партизанська, буд. 33 кв. 9, Косів, 59087",+380 69 263 67 37,pylyptsisyk@example.com
Батуринець,Веніямин,Олегович,Чоловіча,1961-08-27,Няня,хутір Лутугине,"площа Краснослобідський, буд. 5, Кальміуське, 58752",962 98 75,bohdanna89@example.com
Фартушняк,Хома,Михайлович,Чоловіча,1982-10-17,Співак,хутір Кременець,"вулиця Ремонтна, буд. 7 кв. 2, Комарно, 28162",+380 82 382-35-43,udovychenkozorian@example.org
Байрак,Златослава,Дмитрівна,Жіноча,1957-12-24,Кухар,селище Чигирин,"узвіз Рощева, буд. 62 кв. 4, Краматорськ, 40598",021 016-55-96,allaieremenko@example.net
Михайлюк,Одарка,Георгіївна,Жіноча,1946-02-18,Льотчик,селище Погребище,"провулок Аеропортівська, буд. 372 кв. 9, Вугледар, 94752",+380 (30) 732-76-91,hanna81@example.com
Царенко,Орина,Дмитрівна,Жіноча,1975-08-18,Мистецтвознавець,село Донецьк,"набережна Молодогвардійська, буд. 30, Буринь, 57047",+380 (22) 442-58-64,oryna21@example.net
Чуйко,Валентин,Дмитрович,Чоловіча,1979-12-04,Реабілітолог,село Сокаль,"провулок Краснова, буд. 5 кв. 42, Прилуки, 81354",+380 (52) 378-31-03,nazar47@example.net
Деревʼянко,Андрій,Романович,Чоловіча,1951-01-15,Педагог,селище Боярка,"провулок Леха Качинського, буд. 579 кв. 55, Скадовськ, 22365",072 885-94-39,anzhela52@example.org
Проценко,Демид,Євгенович,Чоловіча,1986-03-10,Каскадер,хутір Сокаль,"сквер Купріна, буд. 72 кв. 259, Гуляйполе, 73759",+380 (29) 452-40-99,geregapetro@example.net
Єрьоменко,Адам,Васильович,Чоловіча,1954-05-10,Астроном,селище Хрустальний,"проспект Середньофонтанська, буд. 71 кв. 443, Слов'янськ, 83525",+380 (65) 338-05-89,valerii64@example.org
Баранник,Ростислав,Георгійович,Чоловіча,1976-04-09,Намотувальник,місто Буськ,"провулок Пейзажна, буд. 6 кв. 545, Зміїв, 49992",+380 32 764-26-43,redkoada@example.net
Іващенко,Семен,Юрійович,Чоловіча,1991-06-28,Кухар,селище Ірміно,"шосе Виноградна, буд. 544 кв. 3, Південне , 53594",+380 87 386-41-87,tsarenkoalla@example.com
Гаврилів,Єлисей,Юрійович,Чоловіча,1987-04-25,Ботанік,село Погребище,"парк М’ясоєдовська, буд. 34 кв. 10, Тисмениця, 43277",+380 (57) 054-06-03,ielysaveta53@example.org
Стельмах,Маруся,Георгіївна,Жіноча,1990-12-13,Астроном,місто Львів,"узвіз Дюківська, буд. 43, Джанкой, 35499",+380 29 426-56-51,oksana50@example.com
Вишивана,Варвара,Іванівна,Жіноча,1965-04-27,Дипломат,місто Болград,"провулок Київське, буд. 7, Дніпро , 94945",+380 13 948-81-15,valentynvasylevych@example.org
Гузій,Ростислав,Іванович,Чоловіча,1946-10-15,Будник,село Антрацит ,"сквер Аркадійська, буд. 773 кв. 7, Берислав, 84225",047 546-67-82,liudmyla84@example.com
Бараник,Андрій,Сергійович,Чоловіча,1974-11-23,Юрист,селище Біла Церква,"сквер Степова, буд. 167 кв. 679, Конотоп, 12387",+380 (33) 676-78-93,hanna74@example.net
Дутка,Надія,Іванівна,Жіноча,1946-03-31,Футболіст,місто Чернівці,"провулок Юрженка Олександра, буд. 26, Миргород, 23839",+380 (90) 543-63-71,opanasenkoorysia@example.com
Деркач,Марина,Миколаївна,Жіноча,1988-05-11,Журналіст,місто Корсунь-Шевченківський,"сквер Вільгельма Габсбурга, буд. 994, Іловайськ, 05940",019 404 76 16,diaremchuk@example.net
Атаманюк,Ілля,Олегович,Чоловіча,1989-05-17,Музикознавець,хутір Боково-Хрустальне,"сквер Карантинна, буд. 390 кв. 670, Лиман , 98265",+380 40 136 79 51,iaroshorysia@example.org
